companyname,datadate,tradingitemid,Factor_VALUE,Factor_QUALITY
Cablevision Systems Corporation,31/12/2015,2596945,0.40658667,0.779577873
Cabot Oil & Gas Corporation,31/12/2015,2597012,1.287448096,-1.832046771
Camden Property Trust,31/12/2015,2597367,-0.362899539,-0.317119176
Campbell Soup Company,31/12/2015,2597397,-1.245367188,0.356770482
Canadian Imperial Bank of Commerce,31/12/2015,2597533,0.351959405,0.522893172
Canadian National Railway Company,31/12/2015,2597582,-0.341025684,0.860656771
Canadian Natural Resources Limited,31/12/2015,2597588,-0.292653634,-1.144215354
Canadian Pacific Railway Limited,31/12/2015,2597605,-0.611858496,0.762836915
Canadian Tire Corp. Ltd.,31/12/2015,2597658,0.377832874,-0.042292673
Canadian Utilities Ltd.,31/12/2015,2597688,0.119796768,-0.779120137
Capital One Financial Corporation,31/12/2015,2597991,0.630662056,-0.41634362
"Cardinal Health, Inc.",31/12/2015,2598155,-0.045769744,0.659536803
Carnival Corporation,31/12/2015,2598323,-0.060552011,0.0232311
Caterpillar Inc.,31/12/2015,2598619,0.38818624,-0.519485264
Celgene Corporation,31/12/2015,2598787,-3.165386941,0.389109424
"CenturyLink, Inc.",31/12/2015,2599302,0.467304314,-0.899256911
Cerner Corporation,31/12/2015,2599340,-1.093704147,1.23824367
"Cheniere Energy, Inc.",31/12/2015,2599765,3.346343138,-3.630582651
Chesapeake Energy Corporation,31/12/2015,2599793,0.875010199,-2.613569033
Chevron Corporation,31/12/2015,2599839,0.484691803,-1.305500312
Chicago Bridge & Iron Company N.V.,31/12/2015,2599915,0.914623902,0.364748989
The Chubb Corporation,31/12/2015,2600397,0.308861482,0.151092551
Church & Dwight Co. Inc.,31/12/2015,2600403,-0.627456871,0.65099168
Cincinnati Financial Corp.,31/12/2015,2600477,0.378098023,1.650004592
CarMax Inc.,31/12/2015,2600566,-0.068507384,-0.563201898
"Cisco Systems, Inc.",31/12/2015,2600582,0.217338188,0.306374709
Cintas Corporation,31/12/2015,2600608,-0.427300362,0.613810789
Citigroup Inc.,31/12/2015,2600628,0.593226567,-0.681310621
"Citrix Systems, Inc.",31/12/2015,2600796,-1.01403131,0.115006666
The Clorox Company,31/12/2015,2601047,-0.251432136,2.672080112
"Coach, Inc.",31/12/2015,2601079,-0.073467696,0.554583147
The Coca-Cola Company,31/12/2015,2601201,-0.801783325,0.06824406
Coca-Cola FEMSA S.A.B de C.V.,31/12/2015,2601205,0.251975139,-0.226776779
Cognizant Technology Solutions Corporation,31/12/2015,2601274,-0.435596785,1.24764025
Colgate-Palmolive Co.,31/12/2015,2601341,-0.294746802,2.681463444
Comcast Corporation,31/12/2015,2601563,0.152828628,0.160763517
Comerica Incorporated,31/12/2015,2601589,0.440609112,-0.553798613
Compañía de Minas Buenaventura S.A.A.,31/12/2015,2602039,1.129388087,-1.741597102
Computer Sciences Corporation,31/12/2015,2602195,0.925340251,-3.187037987
"ConAgra Foods, Inc.",31/12/2015,2602239,-0.247104164,-0.674318657
CONSOL Energy Inc.,31/12/2015,2602550,1.050706395,-1.553293902
"Consolidated Edison, Inc.",31/12/2015,2602648,0.362137537,-0.569577658
Constellation Brands Inc.,31/12/2015,2602822,-0.567698903,0.118918859
The Cooper Companies Inc.,31/12/2015,2603093,-0.425843657,-0.024866599
Corning Incorporated,31/12/2015,2603263,0.518774149,0.062778331
Costco Wholesale Corporation,31/12/2015,2603626,-0.570410411,0.59901606
Crown Holdings Inc.,31/12/2015,2604065,0.258630184,1.15426983
Cummins Inc.,31/12/2015,2604195,0.473409009,0.914016909
DR Horton Inc.,31/12/2015,2604698,0.316745404,0.914980233
DTE Energy Company,31/12/2015,2604722,0.351221377,-0.33390208
Danaher Corp.,31/12/2015,2604878,-0.186078417,0.214957674
"Darden Restaurants, Inc.",31/12/2015,2604928,-0.184545863,-0.921030826
DaVita Inc.,31/12/2015,2605123,-0.166843465,-0.31749141
Deere & Company,31/12/2015,2605336,0.197753239,-1.684701085
DENTSPLY SIRONA Inc.,31/12/2015,2605587,-0.374819747,-0.070114564
Devon Energy Corporation,31/12/2015,2605788,0.895209853,-2.271517711
"Diamond Offshore Drilling, Inc.",31/12/2015,2605911,4.524341522,-0.45619308
The Walt Disney Company,31/12/2015,2606225,-0.241382553,0.440307352
"Dominion Resources, Inc.",31/12/2015,2606473,-0.200655832,-0.230218114
Dover Corporation,31/12/2015,2606599,0.262144277,0.057493923
The Dow Chemical Company,31/12/2015,2606617,0.29938337,0.415642352
E. I. du Pont de Nemours and Company,31/12/2015,2607387,-0.222523617,-0.392134695
Duke Realty Corporation,31/12/2015,2607489,-0.988264752,-1.437213877
The Dun & Bradstreet Corporation,31/12/2015,2607507,0.877612947,0.827545707
Dell EMC,31/12/2015,2607898,0.127782928,0.177814733
"EOG Resources, Inc.",31/12/2015,2607936,0.211105953,-2.597736078
E*TRADE Financial Corporation,31/12/2015,2608062,-0.220947825,-0.058864815
Eastman Chemical Co.,31/12/2015,2608300,0.312133574,-0.140774642
Eaton Corporation plc,31/12/2015,2608332,0.467971877,-0.11952475
Eaton Vance Corp.,31/12/2015,2608334,-0.334333015,1.192049346
eBay Inc.,31/12/2015,2608344,-0.057868892,-0.998260645
Ecolab Inc.,31/12/2015,2608411,-0.506475027,-0.020900083
Edison International,31/12/2015,2608519,0.425524789,-0.191406717
Edwards Lifesciences Corp.,31/12/2015,2608553,-1.393711718,1.086416579
Eldorado Gold Corporation,31/12/2015,2608727,0.800096404,-1.863916205
Electronic Arts Inc.,31/12/2015,2608773,-0.809384594,2.587747668
Emerson Electric Co.,31/12/2015,2609044,0.192183401,0.536009228
Empire Company Limited,31/12/2015,2609112,0.457651502,-0.127449538
Enbridge Inc.,31/12/2015,2609173,-0.593547585,-0.821188113
Endo International plc,31/12/2015,2609236,-0.460723225,-0.979089796
Energen Corp.,31/12/2015,2609262,1.728554891,-2.248960856
Edgewell Personal Care Company,31/12/2015,2609278,0.589522049,-1.521694848
Entergy Corporation,31/12/2015,2609585,1.515876239,-0.996252465
Equifax Inc.,31/12/2015,2609989,-0.837407456,0.735834649
Equity Residential,31/12/2015,2610085,-0.95888189,-0.39510114
Essex Property Trust Inc.,31/12/2015,2610227,-2.035653463,0.686230696
Exelon Corporation,31/12/2015,2610551,0.643829749,0.338384672
Expeditors International of Washington Inc.,31/12/2015,2610628,-0.176517902,2.283508266
Express Scripts Holding Company,31/12/2015,2610646,-0.070516658,-0.031858572
Exxon Mobil Corporation,31/12/2015,2610695,0.358064386,-0.715767563
"FLIR Systems, Inc.",31/12/2015,2610781,0.147284199,0.449966359
FMC Corp.,31/12/2015,2610791,-1.08933843,-0.702784266
"FMC Technologies, Inc.",31/12/2015,2610793,0.319995316,0.677847048
"NextEra Energy, Inc.",31/12/2015,2610835,0.253347445,0.535581801
Fairfax Financial Holdings Limited,31/12/2015,2610966,0.126534472,0.108604219
Fastenal Company,31/12/2015,2611182,-0.561620605,1.849271658
Federal Realty Investment Trust,31/12/2015,2611292,-2.195419124,-0.374268626
FedEx Corporation,31/12/2015,2611328,-0.197179466,0.385114236
"F5 Networks, Inc.",31/12/2015,2611374,-0.500149095,2.488454936
Fifth Third Bancorp,31/12/2015,2611490,0.492993894,-0.403846354
Finning International Inc.,31/12/2015,2611632,0.559357106,-0.322759584
First Capital Realty Inc.,31/12/2015,2611834,-0.131575646,-0.511120831
First Quantum Minerals Ltd.,31/12/2015,2612431,0.899082804,-0.862524607
"Fiserv, Inc.",31/12/2015,2612674,-0.976290217,0.196743044
FirstEnergy Corp.,31/12/2015,2612708,0.205660377,-0.760105825
Fluor Corporation,31/12/2015,2613014,0.57270369,0.649249195
Flowserve Corp.,31/12/2015,2613026,0.161326273,0.142165313
"Foot Locker, Inc.",31/12/2015,2613114,0.098980503,1.433429543
Ford Motor Co.,31/12/2015,2613214,0.18959715,-1.232623822
Fortis Inc.,31/12/2015,2613333,0.368910754,0.271550111
"Franklin Resources, Inc.",31/12/2015,2613576,0.374801742,0.406670173
Freeport-McMoRan Inc.,31/12/2015,2613632,0.947493985,-2.586348052
Arthur J Gallagher & Co.,31/12/2015,2614294,0.15156434,0.33165326
TEGNA Inc.,31/12/2015,2614352,0.385573043,-0.115402103
"The Gap, Inc.",31/12/2015,2614358,0.272246053,2.016438975
Gartner Inc.,31/12/2015,2614404,-1.022891661,3.026291588
General Dynamics Corporation,31/12/2015,2614630,0.023661904,1.218828702
General Electric Company,31/12/2015,2614632,-2.860738976,-2.925368652
"General Mills, Inc.",31/12/2015,2614666,-0.681932526,0.032118737
Genuine Parts Company,31/12/2015,2614960,-0.005053781,1.040820357
Gilead Sciences Inc.,31/12/2015,2615242,-0.725259641,2.157110706
Gildan Activewear Inc.,31/12/2015,2615256,-0.620833111,-0.452928209
Global Payments Inc.,31/12/2015,2615579,-1.355092481,0.112110578
Goldcorp Inc.,31/12/2015,2615785,0.749206147,-1.092989149
"The Goldman Sachs Group, Inc.",31/12/2015,2615898,0.566065048,-1.004021723
The Goodyear Tire & Rubber Company,31/12/2015,2615990,0.682210474,1.396835372
"W.W. Grainger, Inc.",31/12/2015,2616073,-0.106404793,1.14846536
Great-West Lifeco Inc.,31/12/2015,2616367,0.437589416,0.416009275
"Keurig Green Mountain, Inc.",31/12/2015,2616431,0.194847319,0.378419242
CGI Group Inc.,31/12/2015,2616638,0.180748951,0.447212176
Halliburton Company,31/12/2015,2617365,-0.79278133,-0.749470581
Monster Beverage Corporation,31/12/2015,2617597,-1.916654293,1.13007086
"Harley-Davidson, Inc.",31/12/2015,2617677,0.094790001,-0.006311987
"Harman International Industries, Incorporated",31/12/2015,2617693,0.085893913,0.991203887
Harris Corporation,31/12/2015,2617727,-0.068275094,-0.0817031
"The Hartford Financial Services Group, Inc.",31/12/2015,2617773,0.575030391,-0.003455933
Hasbro Inc.,31/12/2015,2617819,-0.384736494,0.648853969
Welltower Inc.,31/12/2015,2618035,-0.368769808,-0.347267612
"Helmerich & Payne, Inc.",31/12/2015,2618261,0.58173969,-0.408427243
The Hershey Company,31/12/2015,2618396,-2.57711819,1.398104256
HP Inc.,31/12/2015,2618412,0.691650679,-1.192614238
HollyFrontier Corporation,31/12/2015,2618710,0.46796631,0.224877387
Hologic Inc.,31/12/2015,2618746,-1.803118354,-1.498765678
"The Home Depot, Inc.",31/12/2015,2618800,-2.295167714,2.120369629
Honeywell International Inc.,31/12/2015,2618950,-0.096222231,0.806305374
Hormel Foods Corporation,31/12/2015,2619034,-0.417374562,1.077332693
"Host Hotels & Resorts, Inc.",31/12/2015,2619070,0.219091615,-0.23338797
"Hudson City Bancorp, Inc.",31/12/2015,2619239,-1.111124789,NULL
Humana Inc.,31/12/2015,2619295,0.201870099,0.521238003
JB Hunt Transport Services Inc.,31/12/2015,2619340,-0.414264811,1.541343725
Huntington Bancshares Incorporated,31/12/2015,2619378,0.347399613,-0.215789756
Husky Energy Inc.,31/12/2015,2619397,0.211629895,-2.188204222
Illinois Tool Works Inc.,31/12/2015,2620170,-0.397954309,0.342511024
Illumina Inc.,31/12/2015,2620172,-3.243696937,1.029756139
Imperial Oil Ltd.,31/12/2015,2620386,0.28472233,-0.746276498
Industrial Alliance Insurance and Financial Services Inc.,31/12/2015,2620663,0.618534457,0.174836322
Intel Corporation,31/12/2015,2621295,0.210794151,0.502853708
International Business Machines Corporation,31/12/2015,2621697,-0.644284364,0.731299419
International Flavors & Fragrances Inc.,31/12/2015,2621779,-0.492939527,0.737236187
International Paper Company,31/12/2015,2621951,0.177061596,-0.799737495
"The Interpublic Group of Companies, Inc.",31/12/2015,2622146,-0.073257115,0.585237719
Intuit Inc.,31/12/2015,2622316,-2.86400723,0.760942212
"Intuitive Surgical, Inc.",31/12/2015,2622326,-1.125610087,0.519550741
Iron Mountain Incorporated,31/12/2015,2622515,-1.481893436,-0.227806857
Turquoise Hill Resources Ltd.,31/12/2015,2622682,0.400352207,-0.40077836
JPMorgan Chase & Co.,31/12/2015,2622876,0.529350048,-0.323233565
Jacobs Engineering Group Inc.,31/12/2015,2622922,0.525335031,-0.126209328
Jarden Corp.,31/12/2015,2623026,-0.43265256,-0.477246968
The Jean Coutu Group (PJC) Inc.,31/12/2015,2623074,0.153033737,1.061903079
Johnson & Johnson,31/12/2015,2623227,-0.172991069,0.533511384
Johnson Controls International plc,31/12/2015,2623229,0.218866067,0.107660314
Jones Lang LaSalle Incorporated,31/12/2015,2623267,0.174135589,0.938978931
"Juniper Networks, Inc.",31/12/2015,2623375,1.112532463,-0.554328794
KLA-Tencor Corporation,31/12/2015,2623439,-3.683194992,0.32022298
Kansas City Southern,31/12/2015,2623613,0.016271061,-0.021622669
Kellogg Company,31/12/2015,2623717,-1.873538044,-1.564085914
KeyCorp.,31/12/2015,2623912,0.507367568,-0.415583726
Kimberly-Clark Corporation,31/12/2015,2624004,-1.328719943,2.011780285
Kimco Realty Corporation,31/12/2015,2624008,-0.561968302,0.098153304
Inter Pipeline Ltd.,31/12/2015,2624234,-0.257710099,0.104168166
Kohl's Corp.,31/12/2015,2624252,0.580734508,0.032735936
"Mondelez International, Inc.",31/12/2015,2624336,-0.035419102,-0.499295986
The Kroger Co.,31/12/2015,2624370,-0.225609967,0.685227527
L-3 Communications Holdings Inc.,31/12/2015,2624618,-1.050084693,-3.448091704
Laboratory Corp. of America Holdings,31/12/2015,2624698,0.02157454,0.381357485
Lam Research Corporation,31/12/2015,2625662,0.269673799,0.642064222
The Estée Lauder Companies Inc.,31/12/2015,2625933,-1.020170812,1.117081013
"Leggett & Platt, Incorporated",31/12/2015,2626140,-0.356253101,1.00805184
"Legg Mason, Inc.",31/12/2015,2626148,0.44635691,-0.13371499
Lennar Corporation,31/12/2015,2626233,0.321928624,0.532191815
Leucadia National Corporation,31/12/2015,2626277,0.466005136,-0.796401598
"Level 3 Communications, Inc.",31/12/2015,2626289,-1.172536635,0.233718647
Liberty Property Trust,31/12/2015,2626614,-0.216870071,-0.377129219
Eli Lilly and Company,31/12/2015,2626794,-1.044472283,-0.100671471
"L Brands, Inc.",31/12/2015,2626802,-0.107721163,2.875447483
Linamar Corp.,31/12/2015,2626814,0.450997739,1.300649919
Lincoln National Corporation,31/12/2015,2626848,0.647681123,-0.430100299
Linear Technology Corporation,31/12/2015,2626880,-0.814873644,2.120827249
Loblaw Companies Limited,31/12/2015,2627030,-0.131148794,0.346139631
Lockheed Martin Corporation,31/12/2015,2627050,-2.579704508,2.142436412
Loews Corporation,31/12/2015,2627079,0.436823237,-0.56370331
"Lowe's Companies, Inc.",31/12/2015,2627356,-0.676918876,0.825476198
M&T Bank Corporation,31/12/2015,2627536,0.232422551,-0.436950834
MDU Resources Group Inc.,31/12/2015,2627638,0.32409488,-1.453032143
"SunEdison, Inc.",31/12/2015,2627685,0.544746264,-4.49343823
MGM Resorts International,31/12/2015,2627721,1.513474504,-1.102737659
The Macerich Company,31/12/2015,2627939,-0.396326113,0.447397386
ManpowerGroup Inc.,31/12/2015,2628366,0.350984062,0.355403126
Manulife Financial Corporation,31/12/2015,2628400,0.476106279,-1.052914809
Marathon Oil Corporation,31/12/2015,2628431,1.211363984,-1.766111124
Markel Corp.,31/12/2015,2628565,0.07241059,0.586037672
"Marsh & McLennan Companies, Inc.",31/12/2015,2628629,-0.17508135,0.615883901
"Marriott International, Inc.",31/12/2015,2628645,0.795107581,-0.278034194
"Martin Marietta Materials, Inc.",31/12/2015,2628679,-0.49647651,1.519596665
Masco Corporation,31/12/2015,2628721,0.158428522,1.899533397
"Mattel, Inc.",31/12/2015,2628880,-0.044661338,-0.459808767
"Maxim Integrated Products, Inc.",31/12/2015,2628920,-0.620817463,-0.178342476
"McCormick & Company, Incorporated",31/12/2015,2629062,-0.67520643,0.505965759
McDonald's Corp.,31/12/2015,2629084,-1.313426857,0.133359118
"S&P Global, Inc.",31/12/2015,2629108,-1.26014568,1.000985898
McKesson Corporation,31/12/2015,2629128,-0.137648437,0.658372746
"Merck & Co., Inc.",31/12/2015,2629738,0.004806459,-0.042249729
"MetLife, Inc.",31/12/2015,2630181,0.65370717,-0.1016788
Metro Inc.,31/12/2015,2630217,0.060654378,0.500110702
Mettler-Toledo International Inc.,31/12/2015,2630323,-1.803359018,1.761917526
Microsoft Corporation,31/12/2015,2630413,-0.72889375,0.506803987
Microchip Technology Inc.,31/12/2015,2630455,-0.461264646,-0.009985284
"Micron Technology, Inc.",31/12/2015,2630498,0.750247265,0.153560272
Mobile TeleSystems PJSC,31/12/2015,2631226,0.540275664,0.076191286
Mohawk Industries Inc.,31/12/2015,2631278,-0.095437502,0.253651463
Monsanto Company,31/12/2015,2631428,-0.380835848,0.527377032
Moody's Corporation,31/12/2015,2631520,-0.365589279,3.425640632
Morgan Stanley,31/12/2015,2631609,0.450400264,-0.901778372
"Motorola Solutions, Inc.",31/12/2015,2631805,0.177946135,-1.296241865
Murphy Oil Corporation,31/12/2015,2632064,0.908705269,-1.360254562
"Nasdaq, Inc.",31/12/2015,2632522,0.024840077,-0.24774511
National Bank of Canada,31/12/2015,2632604,0.500330075,0.224737264
"National Oilwell Varco, Inc.",31/12/2015,2632795,0.746224011,-0.479449382
"NetEase, Inc.",31/12/2015,2633251,-0.197662927,1.059503137
Newell Brands Inc.,31/12/2015,2633833,-0.678415669,0.239504863
Newmont Mining Corporation,31/12/2015,2633880,0.505194107,0.369181616
"NIKE, Inc.",31/12/2015,2634146,-1.215511049,1.537769673
NiSource Inc.,31/12/2015,2634188,0.049376988,-1.366745933
"Noble Energy, Inc.",31/12/2015,2634240,0.302696419,-2.049395759
Nordstrom Inc.,31/12/2015,2634346,-0.053245832,1.004534325
Norfolk Southern Corporation,31/12/2015,2634350,0.296869334,-0.324497131
Eversource Energy,31/12/2015,2634583,0.288861831,-0.043504093
Northern Trust Corporation,31/12/2015,2634674,0.094058232,-0.164816057
Northrop Grumman Corporation,31/12/2015,2634721,-0.23283451,0.751613245
Nucor Corporation,31/12/2015,2635042,0.349894624,-0.057100461
NVIDIA Corporation,31/12/2015,2635154,-0.317534923,0.335552942
OGE Energy Corp.,31/12/2015,2635204,0.291132699,-0.346377966
Occidental Petroleum Corporation,31/12/2015,2635350,0.847933208,-2.843673081
"Oceaneering International, Inc.",31/12/2015,2635406,0.397941841,0.238069473
Omnicom Group Inc.,31/12/2015,2635737,-0.336225585,0.149132225
ONEOK Inc.,31/12/2015,2635922,-1.342789495,-0.416993813
Onex Corporation,31/12/2015,2635932,-1.607874857,-2.059447153
Open Text Corporation,31/12/2015,2636020,-0.201432887,0.21397224
Oracle Corporation,31/12/2015,2636077,-0.086652097,0.068863368
O'Reilly Automotive Inc.,31/12/2015,2636236,-1.720004876,2.294781435
PG&E Corporation,31/12/2015,2636693,0.206814197,-1.016223347
"The PNC Financial Services Group, Inc.",31/12/2015,2636835,0.439756817,-0.383427006
"PPG Industries, Inc.",31/12/2015,2636859,-0.3302048,0.453587186
PPL Corporation,31/12/2015,2636867,0.202465418,-0.840033696
PACCAR Inc.,31/12/2015,2637023,0.404949599,0.696000309
Packaging Corporation of America,31/12/2015,2637397,0.132261195,0.357276179
Paramount Resources Ltd.,31/12/2015,2637760,0.57894166,-1.217789301
Parker-Hannifin Corporation,31/12/2015,2637852,0.279805103,0.080590805
"Paychex, Inc.",31/12/2015,2638038,-1.494747032,3.68824495
Pentair plc,31/12/2015,2638398,0.222214192,-0.613174224
"Pepsico, Inc.",31/12/2015,2638536,-1.15053695,0.110447389
Pfizer Inc.,31/12/2015,2638844,-0.178130475,-0.207731635
"Altria Group, Inc.",31/12/2015,2638938,-4.784674674,-0.38197092
ConocoPhillips,31/12/2015,2638961,1.043422269,-2.226089681
PVH Corp.,31/12/2015,2638965,0.408698307,-0.364844575
Pinnacle West Capital Corporation,31/12/2015,2639259,0.315265466,-0.347802333
Pioneer Natural Resources Co.,31/12/2015,2639311,-0.31356316,-1.204101185
Plum Creek Timber Co. Inc.,31/12/2015,2639567,-0.948048769,-0.845643394
Polaris Industries Inc.,31/12/2015,2639651,-0.421396443,3.43346772
Ralph Lauren Corporation,31/12/2015,2639667,0.218371558,0.423030325
Power Corporation of Canada,31/12/2015,2639915,0.708301331,0.284605878
Power Financial Corporation,31/12/2015,2639935,0.580110039,0.208355902
Praxair Inc.,31/12/2015,2640048,-0.525087611,-0.173304791
Precision Castparts Corp.,31/12/2015,2640070,-0.133985531,-0.112676319
"T. Rowe Price Group, Inc.",31/12/2015,2640322,-0.115082668,2.101362659
The Priceline Group Inc.,31/12/2015,2640332,-1.285665702,1.270089577
Principal Financial Group Inc.,31/12/2015,2640490,0.485797436,0.103683233
The Procter & Gamble Company,31/12/2015,2640598,-0.192728912,0.078520462
Progressive Corp.,31/12/2015,2640716,0.324690121,0.922003371
"Prudential Financial, Inc.",31/12/2015,2640949,0.640381589,0.44820324
Public Service Enterprise Group Inc.,31/12/2015,2641055,0.490476785,0.827845242
Public Storage,31/12/2015,2641077,-2.321048966,0.59888424
"PulteGroup, Inc.",31/12/2015,2641195,0.456189426,0.159351525
QUALCOMM Incorporated,31/12/2015,2641396,0.188051449,0.173137738
"Quanta Services, Inc.",31/12/2015,2641432,0.415134282,-0.357688756
Quest Diagnostics Inc.,31/12/2015,2641541,0.30271305,0.13227001
Range Resources Corporation,31/12/2015,2642117,0.869930922,-2.182602734
"Raymond James Financial, Inc.",31/12/2015,2642205,0.398992527,0.355602662
Raytheon Company,31/12/2015,2642243,0.03196551,0.462832685
Realty Income Corporation,31/12/2015,2642335,-1.207510329,-0.31951403
